Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40042361.1,AUDIFONOS (usado),BOSE,SM,BOSE SM AUDIFONOS INALAMBRICOS BOSE COLOR NEGRO DETALLES DE USO,ver [1] fotos.,$ 905.00,$ 905.00,Atizapán Plaza Cristal,55-4160-5890
40046009.1,AUDIFONOS (usado),BEATS,FLEX,BEATS FLEX AURICULARES NEGROS MALTRATADOS MARCAS DE USO EN CAJA,ver [1] fotos.,$ 679.00,$ 679.00,Atizapán Plaza Cristal,55-4160-5890
40047093.1,AUDIFONOS (usado),OTRA MARCA,BOWERSWILKINGP17,AUDIFONOS BOWERS WIKINS OTRA MARCA(BOWERSWILKINS) BOWERSWILKINGP17 AUDIFONOS EN CAJA SUCIO DETALLES DE USOS,ver [1] fotos.,"$ 2,300.00","$ 2,300.00",Atizapán Plaza Cristal,55-4160-5890
40047315.5,AUDIFONOS (usado),SM,AUDIFONOSU60,SM AUDIFONOSU60 AUDIFONOS TWS EN CAJA SE ABRE PARA PROBAR SU FUNCIONAMIENTO,ver [1] fotos.,$ 166.00,$ 166.00,Atizapán Plaza Cristal,55-4160-5890
40047315.9,AUDIFONOS (usado),TWS,U60,TWS U60 AUDIFONOS TWS EN CAJA SE ABRE PARA PROBAR SU FUNCIONAMIENTO,ver [1] fotos.,$ 178.00,$ 178.00,Atizapán Plaza Cristal,55-4160-5890
40047389.1,AUDIFONOS (usado),HUAWEI,T0013C,HUAWEI T0013C AUDIFONOS INALAMBRICOS COLOR ORANGE/MARCVAS DE USO TIPO MUESCAS EN EL ESTUCHE/EN CAJA/CON CABLE DE CARGA,ver [1] fotos.,"$ 1,130.00","$ 1,130.00",Atizapán Plaza Cristal,55-4160-5890
41065175.1,AUDIFONOS (usado),APPLE,A2700,APPLE A2700 AIRPODS PRO 2DA GENERACION COLOR BLANCO,ver [1] fotos.,"$ 1,200.00","$ 1,200.00",Azcapotzalco,55-4160-5775
41065214.2,AUDIFONOS (usado),HONOR,EARBUDSX71,HONOR EARBUDSX71 AUDIFONOS BLUETOOTH EN CAJA,ver [1] fotos.,$ 400.00,$ 400.00,Azcapotzalco,55-4160-5775
41065558.1,AUDIFONOS (usado),APPLE,A2618,APPLE A2618 AIRPODSPRO 2 CLONES,ver [1] fotos.,$ 200.00,$ 200.00,Azcapotzalco,55-4160-5775
41066003.1,AUDIFONOS (usado),JBL,520BT,JBL 520BT AUDIFONOS BLUIETOOTH COLOR AZUL SIN CABLE,ver [1] fotos.,$ 392.00,$ 392.00,Azcapotzalco,55-4160-5775
41066297.1,AUDIFONOS (usado),TURTLEBEACH,A6230,TURTLEBEACH A6230 AUDIFONOS DE DIADEMA TURTLE BEACH COLOR GRIS CON BLANCO BUENE STADO,ver [1] fotos.,$ 264.00,$ 264.00,Azcapotzalco,55-4160-5775
41066564.1,AUDIFONOS (usado),APPLE,A2566,APPLE A2566 AIRPODS APPLE 3RA GEN EN CAJA,ver [1] fotos.,"$ 1,176.00","$ 1,176.00",Azcapotzalco,55-4160-5775
77005093.1,AUDIFONOS (usado),APPLE,A2566,AUDIFONOS CON CABLE CARGADOR APPLE A2566 ARTICULO USADO SE REALIZAN PRUEBAS DE FUNCIONAMEINTO,ver [1] fotos.,$ 735.00,$ 735.00,Cancún MultiPlaza Arco Norte,998-777-0397
77005249.1,AUDIFONOS (usado),APPLE,A2700,"AIRPODS SEGUNDA GENERACION, APPLE A2700 ,CARGADOR,USADO",ver [1] fotos.,$ 921.00,$ 921.00,Cancún MultiPlaza Arco Norte,998-777-0397
77005378.1,AUDIFONOS (usado),MONTBLANC,MTB03,"AUDIFONON INHALAMBRICOS BLUETOOTH MONTBLANC MTB03 ,NEGROS,CARGADOR,USADO",ver [1] fotos.,"$ 2,230.00","$ 2,230.00",Cancún MultiPlaza Arco Norte,998-777-0397
77005645.1,AUDIFONOS (usado),APPLE,A2190,"AIRPODS 1RE GENERACION COLOR BLANCO, APPLE A2190 , CON CABLE DE CARGADOR SIN CUBO, DETALLES DE USO.",ver [1] fotos.,$ 799.00,$ 799.00,Cancún MultiPlaza Arco Norte,998-777-0397
77005657.1,AUDIFONOS (usado),SM,IP54,SM IP54 AUDIFONOS INALAMBRICOS BOWERS & WILKINS PI5 IN-EAR TWS - NEGRO BOWERS & WILKINS PI5,ver [1] fotos.,"$ 1,807.00","$ 1,807.00",Cancún MultiPlaza Arco Norte,998-777-0397
77005817.1,AUDIFONOS (usado),APPLE,A1602,"AIRPODS 2DA GENERACION, COLOR BLCO. APPLE A1602 , CON CABLE USB, USADO.",ver [1] fotos.,$ 521.00,$ 521.00,Cancún MultiPlaza Arco Norte,998-777-0397
77005908.1,AUDIFONOS (usado),APPLE,A2190,"AURICULARES AIRPODS, COLOR BLANCO, APPLE A2190 , CON CABLE USB Y CUBO, USADO.",ver [1] fotos.,"$ 1,015.00","$ 1,015.00",Cancún MultiPlaza Arco Norte,998-777-0397
77006044.1,AUDIFONOS (usado),LG,TONET60Q,"AUDIFONOS INALAMBRICOS, COLOR NEGRO, LG TONET60Q , CON CABLE USB, USADO.",ver [1] fotos.,$ 654.00,$ 654.00,Cancún MultiPlaza Arco Norte,998-777-0397
77006503.1,AUDIFONOS (usado),BEATS,A2454,"AUDIFONOS INALAMBRICOS , COLOR ROJO , BEATS A2454 , CON CABLE DE USB, USADOS",ver [1] fotos.,"$ 1,100.00","$ 1,100.00",Cancún MultiPlaza Arco Norte,998-777-0397
77006713.1,AUDIFONOS (usado),APPLE,A1602,"AIRPODS SEGUNDA GENERACION, COLOR BLCO. APPLE A1602 , CON CABLE USB Y CUBO, USADO.",ver [1] fotos.,$ 800.00,$ 800.00,Cancún MultiPlaza Arco Norte,998-777-0397
77007175.1,AUDIFONOS (usado),SAMSUNG,SMR180,"AUDÍFONOS INALÁMBRICOS GALAXY BUDS LIVE NEGRO COLOR NEGRO, SAMSUNG SMR180 , CON CABLE DE USB SIN CUBO, USADO",ver [1] fotos.,$ 900.00,$ 900.00,Cancún MultiPlaza Arco Norte,998-777-0397
77007523.1,AUDIFONOS (usado),APPLE,A3059,"AIRPODS 4 GENERACION, COLOR BLCO. CON CANCELACION DE RUIDO, APPLE A3059 , CON CABLE USB, USADO.",ver [1] fotos.,"$ 2,000.00","$ 2,000.00",Cancún MultiPlaza Arco Norte,998-777-0397
