Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
258021092.1,CELULARES (usado),VIVO,V2050-MEM:128GB,VIVO V2050-MEM:128GB-COM:TELCEL-IMEI:**********75696 CELULAR COLOR AZUL CON CAJA CON CARGADOR 128GB DE ALM DETALLES POR USO,ver [1] fotos.,"$ 2,312.00","$ 1,478.00",Atizapán Plaza Cristal,55-4160-5890
258023717.1,CELULARES (usado),OPPO,CPH2387-MEM:128GB,OPPO CPH2387-MEM:128GB-COM:MOVISTAR-IMEI:**********09781 CELULAR COLOR VERDE CON 128 DE ALM CON 4 DE RAM EN CAJA CON CARGADOR ORIGINAL MINIMOS DETALLES DE USO,ver [1] fotos.,"$ 1,246.00",$ 997.00,Atizapán Plaza Cristal,55-4160-5890
258023821.1,CELULARES (usado),OPPO,CPH2477-MEM:64GB,OPPO CPH2477-MEM:64GB-COM:LIBERADO-IMEI:**********80323 CELULAR EN COLOR AZUL CON CAJA Y CARGADOR 64GB DE ALM DETALLES POR USO,ver [1] fotos.,"$ 1,755.00","$ 1,404.00",Atizapán Plaza Cristal,55-4160-5890
258024469.1,CELULARES (usado),OPPO,CPH2363-MEM:128GB,OPPO CPH2363-MEM:128GB-COM:TELCEL-IMEI:**********73603 OPPO RENO 7CON 128 DE ALM CON 6 DE RAM CON CAJA CON CARGADOR DETALLES DE USO,ver [1] fotos.,"$ 1,500.00","$ 1,320.00",Atizapán Plaza Cristal,55-4160-5890
258024804.1,CELULARES (usado),OPPO,CPH2599-MEM:256GB,OPPO CPH2599-MEM:256GB-COM:TELCEL-IMEI:**********42340 OPPO RENO 11 5 G CON 256 DE ALM CON 16 DE RAM EN CAJA CON CABLE,ver [1] fotos.,"$ 4,867.00","$ 3,894.00",Atizapán Plaza Cristal,55-4160-5890
258024881.1,CELULARES (usado),OPPO,CPH2599-MEM:256GB,OPPO CPH2599-MEM:256GB-COM:TELCEL-IMEI:**********40468 OPPO RENO 11 5G CON 256 DE ALM CON 12 DE RAM CON CAJA CON CARGADOR DETALLES DE USO,ver [1] fotos.,"$ 4,867.00","$ 3,894.00",Atizapán Plaza Cristal,55-4160-5890
258024902.1,CELULARES (usado),HONOR,FNE-NX9-MEM:128GB,HONOR FNE-NX9-MEM:128GB-COM:TELCEL-IMEI:**********92848 CELULAR CON 128 DE ALM CON 10 DE RAM CON CAJA Y CARGADOR DETALLES DE USO,ver [1] fotos.,"$ 4,553.00","$ 3,642.00",Atizapán Plaza Cristal,55-4160-5890
258025063.1,CELULARES (usado),OPPO,CPH2577-MEM:256GB,OPPO CPH2577-MEM:256GB-COM:MOVISTAR-IMEI:**********98215 CELULAR OPPO A58 EN CAJA CON CARGADOR CON 256 DE ALM CON 8 DE RAM DETALLES DE USO,ver [1] fotos.,"$ 2,893.00","$ 2,314.00",Atizapán Plaza Cristal,55-4160-5890
258025329.1,CELULARES (usado),OPPO,CPH2577-MEM:256GB,"CELULAR A58 EN CAJA CON CARGADOR OPPO CPH2577-MEM:256GB-COM:ATT-IMEI:**********25447 MINIMOS RAYONES , FUNCIONANDO , EN COLOR GRIS.",ver [1] fotos.,"$ 2,893.00","$ 2,314.00",Atizapán Plaza Cristal,55-4160-5890
258025940.1,CELULARES (usado),VIVO,V2247-MEM:256GB,VIVO V2247-MEM:256GB-COM:TELCEL-IMEI:**********91230 VIVO Y36 CON 256 DE ALM CON 8+8 DE RAM EN CAJA CON CARGADOR LIGEROS DETALLES DE USO,ver [1] fotos.,"$ 3,157.00","$ 2,526.00",Atizapán Plaza Cristal,55-4160-5890
