Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40045355.1,CONSOLAS DE JUEGOS (usado),MICROSOFT,1681-DD:500GB-ED:SIN_EDICION,MICROSOFT 1681-DD:500GB-ED:SIN_EDICION XBOX ONE ESMALTE BLANCO CON DETALLES POR USO QUE NO AFECTAN AL FUNCIONAMIENTO,ver [1] fotos.,"$ 1,653.00","$ 1,653.00",Atizapán Plaza Cristal,55-4160-5890
40045925.3,CONSOLAS DE JUEGOS (usado),MICROSOFT,1681-DD:500GB-ED:SIN_EDICION,MICROSOFT 1681-DD:500GB-ED:SIN_EDICION CONSOLA DE XBOX ONE COLOR BLANCA CON CABLE HDMI CABLE DE ALIMENTACION EN CAJA DETALLES DE USO EN EL MANDO,ver [1] fotos.,"$ 3,306.00","$ 3,306.00",Atizapán Plaza Cristal,55-4160-5890
40046177.1,CONSOLAS DE JUEGOS (usado),SONY,CUH2215B-DD:1TB-ED:SIN_EDICION,SONY CUH2215B-DD:1TB-ED:SIN_EDICION PLAYSTATION 4 SLIM DE 1TB CON CONTROL MARCAS DE USO Y MANCHAS BLANCAS/CON SUS CABLES,ver [1] fotos.,"$ 3,300.00","$ 3,300.00",Atizapán Plaza Cristal,55-4160-5890
40046867.1,CONSOLAS DE JUEGOS (usado),SONY,CUH115A-DD:512GB-ED:SIN_EDICION,SONY CUH115A-DD:512GB-ED:SIN_EDICION PLAYSTAION 4 FAT DE 500GB/CONTROL Y SUS CABLES/MARCAS DE USO,ver [1] fotos.,"$ 2,310.00","$ 2,310.00",Atizapán Plaza Cristal,55-4160-5890
40046871.1,CONSOLAS DE JUEGOS (usado),MICROSOFT,1681-DD:1TB-ED:SIN_EDICION,MICROSOFT 1681-DD:1TB-ED:SIN_EDICION XBOX ONE SLIM DE 1TB MARCAS DE USO CONTROL NEGRO MALTRATADO CON DETALLES,ver [1] fotos.,"$ 3,400.00","$ 3,400.00",Atizapán Plaza Cristal,55-4160-5890
40046873.1,CONSOLAS DE JUEGOS (usado),MICROSOFT,1540-DD:500GB-ED:SIN_EDICION,MICROSOFT 1540-DD:500GB-ED:SIN_EDICION XBOX ONE NEGRO CON DETALLES POR USO /CON SUS CABLES Y JUEGO,ver [1] fotos.,"$ 2,184.00","$ 2,184.00",Atizapán Plaza Cristal,55-4160-5890
40046965.1,CONSOLAS DE JUEGOS (usado),SONY,CFI1115A-DD:825GB-ED:SIN_EDICION,COMSOLA SONY CFI1115A-DD:825GB-ED:SIN_EDICION PLAS 5 CON CONTROL ROJO EN CAJA SIN DESGASTE DE USO NOTORIO,ver [1] fotos.,"$ 6,005.00","$ 6,005.00",Atizapán Plaza Cristal,55-4160-5890
40047049.1,CONSOLAS DE JUEGOS (usado),SONY,CUH2215B-DD:1TB-ED:SIN_EDICION,SONY CUH2215B-DD:1TB-ED:SIN_EDICION PLAYSTATION 4 DE 1TB EN CAJA MARCAS DE USO/CON SUS CABLES Y UN JUEGO,ver [1] fotos.,"$ 3,900.00","$ 3,900.00",Atizapán Plaza Cristal,55-4160-5890
40047072.1,CONSOLAS DE JUEGOS (usado),MICROSOFT,1681-DD:1TB-ED:SIN_EDICION,MICROSOFT 1681-DD:1TB-ED:SIN_EDICION XBOX SLIM DE 1 TB/MARCAS DE USO CONTROL CON DETALLES /CABLES,ver [1] fotos.,"$ 3,400.00","$ 3,400.00",Atizapán Plaza Cristal,55-4160-5890
40047073.1,CONSOLAS DE JUEGOS (usado),SONY,CUH2215B-DD:1TB-ED:SIN_EDICION,SONY CUH2215B-DD:1TB-ED:SIN_EDICION PLAYSTATION 4  CON CONTROL Y SUS CABLES MARCAS DE USO EN LA TAPA DE ARRIBA LIGEROS ARAÑASOS,ver [1] fotos.,"$ 3,900.00","$ 3,900.00",Atizapán Plaza Cristal,55-4160-5890
40047081.1,CONSOLAS DE JUEGOS (usado),SONY,CFI1015A-DD:825GB-ED:SIN_EDICION,SONY CFI1015A-DD:825GB-ED:SIN_EDICION PLAYSTATION 5/CONTROL/CABLES/MARCAS DE USO MALTRATADO EN CAJA,ver [1] fotos.,"$ 6,722.00","$ 6,722.00",Atizapán Plaza Cristal,55-4160-5890
40047132.1,CONSOLAS DE JUEGOS (usado),NINTENDO,HDH001-DD:32GB-ED:SIN_EDICION,NINTENDO HDH001-DD:32GB-ED:SIN_EDICION NINTENDO HDH1001 32GB AZUL DETALLES DE USO CARGADOR  EN CAJA  DETALLES DE USO,ver [1] fotos.,"$ 2,313.00","$ 2,313.00",Atizapán Plaza Cristal,55-4160-5890
40047145.1,CONSOLAS DE JUEGOS (usado),MICROSOFT,1883-DD:512GB-ED:SIN_EDICION,MICROSOFT 1883-DD:512GB-ED:SIN_EDICION XBOX ONE SERIES S DE 500GB/CONTROL MARCAS DE USO,ver [1] fotos.,"$ 4,307.00","$ 4,307.00",Atizapán Plaza Cristal,55-4160-5890
40047182.1,CONSOLAS DE JUEGOS (usado),MICROSOFT,1883-DD:512GB-ED:SIN_EDICION,MICROSOFT 1883-DD:512GB-ED:SIN_EDICION XBOX SERIES S DE 500GB/MALTRATADA CONTROL CABLES MARCAS DE USO,ver [1] fotos.,"$ 3,690.00","$ 3,690.00",Atizapán Plaza Cristal,55-4160-5890
