Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40045140.2,MONITORES (usado),SM,SM,SM SM-TAM:12 MONITOR TACTIL FUNCIONANDO CON CABLES DE ALIMENTACION CON ELIMINADOR,ver [1] fotos.,$ 517.00,$ 517.00,Atizapán Plaza Cristal,55-4160-5890
40047362.1,MONITORES (usado),SAMSUNG,S24D390HL,MONITOR SAMSUNG S24D390HL-TAM:24 MONITOR DETALLES DE USO CON CABLE  SIN CABLE DE HB,ver [1] fotos.,$ 900.00,$ 900.00,Atizapán Plaza Cristal,55-4160-5890
41064706.1,MONITORES (usado),LENOVO,SM,LENOVO SM-TAM:19 MONITOR PARA PC BUEN ESTADO,ver [1] fotos.,$ 323.00,$ 323.00,Azcapotzalco,55-4160-5775
41065078.1,MONITORES (usado),DELL,SM,DELL SM-TAM:19 MONITO PARA PC BUEN ESTADO,ver [1] fotos.,$ 400.00,$ 400.00,Azcapotzalco,55-4160-5775
41065078.2,MONITORES (usado),DELL,SM,DELL SM-TAM:19 MONITO PARA PC BUEN ESTADO,ver [1] fotos.,$ 400.00,$ 400.00,Azcapotzalco,55-4160-5775
41065886.1,MONITORES (usado),DELL,E2016HV,DELL E2016HV-TAM:21.5 PAR DE MONITORES PARA PC MARCA DELL COLOR NEGRO,ver [1] fotos.,$ 800.00,$ 800.00,Azcapotzalco,55-4160-5775
41066963.1,MONITORES (usado),DELL,SM,DELL SM-TAM:26 MONITOR MARCA DELL COLOR NEGRO CON CABLES,ver [1] fotos,$ 713.00,$ 713.00,Azcapotzalco,55-4160-5775
58037501.1,MONITORES (usado),AOC,E970SWN,"AOC E970SWN-TAM:14 MONITOR DE 14"", COLOR NEGRO, CABLE DE ALIMENTACION, RAY Y MALT",ver [1] fotos.,$ 253.00,$ 253.00,Chalco Guadalupana,55-5980-4926
52059719.1,MONITORES (usado),AOC,185LM00012,MINITOR AOC 185LM00012-TAM:18.5 MINITOR AOC CON CABLE CORRIENTE CABLE VGA / DETALLES DE USO,ver [1] fotos.,$ 311.00,$ 311.00,Chalco Soriana Valle,55-5985-0291
37030356.1,MONITORES (usado),HP,SM,HP SM-TAM:9 HP ENGAGE ONE COLOR NEGRO SIN DETALLE DE USO,ver [1] fotos.,$ 800.00,$ 800.00,Chilpancingo,55-4160-5746
37030685.1,MONITORES (usado),DELL,P2419H,MONONITOR DELL P2419H-TAM:24 COLOR NEGROI DETALLES MINIMOS DE USO,ver [1] fotos.,"$ 1,900.00","$ 1,900.00",Chilpancingo,55-4160-5746
37030822.1,MONITORES (usado),DELL,P2319H,MONITOR DEL DELL P2319H-TAM:22 MODELO P2319H DETALLES MÍNIMOS DE USO,ver [1] fotos.,"$ 1,407.00","$ 1,407.00",Chilpancingo,55-4160-5746
