Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40045609.1,PANTALLAS (usado),SAMSUNG,UN55MU7500FXZX,"SAMSUNG UN55MU7500FXZX-TAM:55 PANTALLA CURVA LED 55"" SMART CON CONTROL Y CABLE DE ALIMENTACION SIN PATITAS",ver [1] fotos.,"$ 8,731.00","$ 8,731.00",Atizapán Plaza Cristal,55-4160-5890
40046779.1,PANTALLAS (usado),TCL,75S453,TCL 75S453-TAM:70 TV DE 75 PULGADAS TCL CON PATITAS SIN TORINILLOS CONTROL MARCAS DE USO,ver [1] fotos.,"$ 5,603.00","$ 5,603.00",Atizapán Plaza Cristal,55-4160-5890
40047200.1,PANTALLAS (usado),SAMSUNG,BE75DH,PANTALLA SAMSUNG BE75DH-TAM:OTRO SAMSUNG 75 PULGADAS CON CABLE CONTROL DETALLE DE USO,ver [1] fotos.,"$ 9,700.00","$ 9,700.00",Atizapán Plaza Cristal,55-4160-5890
40047333.1,PANTALLAS (usado),SAMSUNG,UN43T5300AF,PANTALLA SAMSUNG UN43T5300AF-TAM:43 SAMSUNG CON BASE NO FIJA Y CONTROL  DESGASTE DE USO,ver [1] fotos.,"$ 4,037.00","$ 4,037.00",Atizapán Plaza Cristal,55-4160-5890
40047557.1,PANTALLAS (usado),ATVIO,ATV5011LED,PANTALLA ATVIO ATV5011LED-TAM:50 PANTALLA DETALLES DE USO CON  CONTROL SIN TAPA  DETALLES DE USO,ver [1] fotos.,"$ 3,992.00","$ 3,992.00",Atizapán Plaza Cristal,55-4160-5890
40047590.1,PANTALLAS (usado),LG,SM,PANTALLA LG SM-TAM:50 PANTALLA  CON CONTROL DETALLES DE USO,ver [1] fotos.,"$ 5,114.00","$ 5,114.00",Atizapán Plaza Cristal,55-4160-5890
40047659.1,PANTALLAS (usado),GHIA,G32BHD22,PANTALLA GHIA G32BHD22-TAM:32 PANTALLA GHIA 32 LED NEGRA CON CONTROL Y PATITAS DE USO SIN QUE AFECTE SU FUNCIONAMIENTO,ver [1] fotos,"$ 1,248.00","$ 1,248.00",Atizapán Plaza Cristal,55-4160-5890
MG1207,PANTALLAS (nuevo),SONY,XBR75X90CH,"TV SONY 75 LED 4K X-REALITY PRO HDR X1 3840 X 2160 120HZ SMART TV FULL WEB, BLUETOOTH, ANDROID, GOOGLE ASISTANCE, ALEXA, PROCESADOR X1, COMANDOS DE VO",---,"$ 17,999.00","$ 17,999.00",Atizapán Plaza Cristal,55-4160-5890
MG1338,PANTALLAS (nuevo),HISENSE,55R6095G5,TV HISENSE 55 LED 4K 3840 X 2160 SMART TV FULL WEB ROKU INTEGRADO,---,"$ 5,999.00","$ 5,999.00",Atizapán Plaza Cristal,55-4160-5890
MG1588,PANTALLAS (nuevo),LG,43UQ8000AUB,"TV LG 43 LED 4K 3840 X 2160P 60HZ SMART TV FULL WEB, BLUETOOTH, GOOGLE ASSISTANT, ALEXA... Y RECONOCIMIENTO DE VOZ",---,"$ 5,899.00","$ 5,899.00",Atizapán Plaza Cristal,55-4160-5890
MG1589,PANTALLAS (nuevo),LG,55UQ8000AUB,"TV LG 55 LED 4K 3840 X 2160P 60HZ SMART TV FULL WEB, BLUETOOTH, GOOGLE ASSISTANT, ALEXA... Y RECONOCIMIENTO DE VOZ",---,"$ 6,999.00","$ 6,999.00",Atizapán Plaza Cristal,55-4160-5890
MG1641T,PANTALLAS (nuevo),PHILIPS,75PFL5604F7X,TV PHILIPS 75 LED 4K 3840 X 2160 120HZ SMART TV FULL WEB,---,"$ 9,999.00","$ 9,999.00",Atizapán Plaza Cristal,55-4160-5890
MG1895,PANTALLAS (nuevo),PHILIPS,50PFL4756 X,"TV PHILIPS 50 LED 4K 3840 X 2160 60HZ SMART TV ANDROID, BLUETOOTH, GOOGLE PLAY",---,"$ 4,999.00","$ 4,999.00",Atizapán Plaza Cristal,55-4160-5890
MG1960T,PANTALLAS (nuevo),TCL,50S451,TCL 50 CLASS 4-SERIES 4K UHD HDR SMART ROKU TV,---,"$ 4,999.00","$ 4,999.00",Atizapán Plaza Cristal,55-4160-5890
MG2059,PANTALLAS (nuevo),HISENSE,50A65K,"TV HISENSE 50 LED 4K 3840 X 2160P 60HZ SMART TV ANDROID, GOOGLE ASSISTANT, COMPATIBLE CON ALEXA, GOOGLE PLAY APP STORE",---,"$ 5,499.00","$ 5,499.00",Atizapán Plaza Cristal,55-4160-5890
MG2063,PANTALLAS (nuevo),HISENSE,65A65K,"TV HISENSE 65 LED 4K 3840 X 2160P 60HZ SMART TV ANDROID, GOOGLE ASSISTANT, COMPATIBLE CON ALEXA, GOOGLE PLAY APP STORE",---,"$ 7,999.00","$ 7,999.00",Atizapán Plaza Cristal,55-4160-5890
MG2130,PANTALLAS (nuevo),HISENSE,43A45H,"TV HISENSE 43 LED 1080P 60HZ SMART TV ANDROID , GOOGLE ASSISTANT, COMPATIBLE CON ALEXA, GOOGLE PLAY APP STORE",---,"$ 3,899.00","$ 3,899.00",Atizapán Plaza Cristal,55-4160-5890
MG2588,PANTALLAS (nuevo),HISENSE,55QD65NF,"TV HISENSE 55 QLED 3840 X 2160P 60HZ SMART TV FIRE TV ALEXA INTEGRADO, BLUETOOTH",---,"$ 6,999.00","$ 6,999.00",Atizapán Plaza Cristal,55-4160-5890
MG2589,PANTALLAS (nuevo),HISENSE,65QD65NF,"TV HISENSE 65 QLED 3840 X 2160P 60HZ SMART TV FIRE TV ALEXA INTEGRADO, BLUETOOTH",---,"$ 8,999.00","$ 8,999.00",Atizapán Plaza Cristal,55-4160-5890
SE1013,PANTALLAS (nuevo),CUORY,CUOHDTV32,SMART TV HD ANDROID BLUETOOTH WIFI DOLBY AUDIO 32 PULG,---,"$ 1,999.00","$ 1,999.00",Atizapán Plaza Cristal,55-4160-5890
SO3316T,PANTALLAS (nuevo),LG,49UK6090PUA,TV LG 49 LED 4K 3840 X 2160P 120HZ SMART TV FULL WEB,---,"$ 5,499.00","$ 5,499.00",Atizapán Plaza Cristal,55-4160-5890
SO3374T,PANTALLAS (nuevo),SAMSUNG,UN55NU6080FXZA,TV SAMSUNG 55 LED 4K 3840 X 2160 120HZ SMART TV FULL WEB,---,"$ 6,999.00","$ 6,999.00",Atizapán Plaza Cristal,55-4160-5890
SO3486,PANTALLAS (nuevo),HISENSE,58R6E,TV HISENSE 58 LED 4K 3840 X 2160P 60HZ SMART TV CON ROKU INTEGRADO,---,"$ 6,699.00","$ 6,699.00",Atizapán Plaza Cristal,55-4160-5890
SO3624,PANTALLAS (nuevo),HISENSE,75R6E3,TV HISENSE 75 LED 4K 3840 X 2160P 60HZ SMART TV ROKU INTEGRADO,---,"$ 11,999.00","$ 11,999.00",Atizapán Plaza Cristal,55-4160-5890
41060702.1,PANTALLAS (usado),HISENSE,50A7GV,HISENSE 50A7GV-TAM:50 PANTALL SMARTV 4K CON CABLE DE ALIMENTACION CONTROL DESGASTE DE USO,ver [1] fotos.,"$ 3,175.00","$ 3,175.00",Azcapotzalco,55-4160-5775
41064437.1,PANTALLAS (usado),LG,32LF580BUA,LG 32LF580BUA-TAM:32 PANTALLA LG DE 32GB SMART TV,ver [1] fotos.,$ 700.00,$ 700.00,Azcapotzalco,55-4160-5775
41065104.1,PANTALLAS (usado),HKPRO,HKP40R02,HKPRO HKP40R02-TAM:40 PANTALLA SMART TV HKPRO 40 PULGADAS EN CAJA CON CARGADOR Y CABLE DE CORRIENTE DETALLES POR USO,ver [1] fotos.,"$ 2,225.00","$ 2,225.00",Azcapotzalco,55-4160-5775
41065129.1,PANTALLAS (usado),HISENSE,40H4030F1,HISENSE 40H4030F1-TAM:43 PANTAL.LA DE 43 PULGADAS DESGASTE DE USO CON CONTROL,ver [1] fotos.,"$ 1,600.00","$ 1,600.00",Azcapotzalco,55-4160-5775
41065195.1,PANTALLAS (usado),PANASONIC,TCP42C2X,"PANASONIC TCP42C2X-TAM:50 PANTALLA  DE PLASMA DE 50"" MARCA PANASONIC CON CONTROL",ver [1] fotos.,"$ 1,200.00","$ 1,200.00",Azcapotzalco,55-4160-5775
41065222.1,PANTALLAS (usado),LG,70UR8750PSA,"LG 70UR8750PSA-TAM:70 PANTALLA LG DE 70"" CON CONTROL",ver [1] fotos.,"$ 7,824.00","$ 7,824.00",Azcapotzalco,55-4160-5775
41065363.1,PANTALLAS (usado),ATVIO,43D1SFATSC,"ATVIO 43D1SFATSC-TAM:43 PANTALLA MARCA ATVIO DE 43"" CON CONTROL Y CABLE DE CORRIENTE",ver [1] fotos,"$ 3,752.00","$ 3,752.00",Azcapotzalco,55-4160-5775
41065422.1,PANTALLAS (usado),SAMSUNG,BE32TB,SAMSUNG BE32TB-TAM:32 PANTALLA SAMSUNG SMART TV 32 PULGADAS CONTROL Y CABLE EN ESTADO REGULAR SIN CONTRASEÑA,ver [1] fotos.,"$ 2,476.00","$ 2,476.00",Azcapotzalco,55-4160-5775
41065624.1,PANTALLAS (usado),SANSUI,SMX40VAFW,SANSUI SMX40VAFW-TAM:40 PANTALLA SMART TV 40 PULGADAS SANSUI EN COLOR NEGRA POCOS DETALLES POR USO SIN CUENTAS CONTROL Y CAJA,ver [1] fotos.,"$ 2,288.00","$ 2,288.00",Azcapotzalco,55-4160-5775
41065847.1,PANTALLAS (usado),TCL,55A527,"TCL 55A527-TAM:55 PANTALLA MARCA TCL DE 55"" CON CONTROL",ver [1] fotos.,"$ 4,832.00","$ 4,832.00",Azcapotzalco,55-4160-5775
41065849.1,PANTALLAS (usado),SAMSUNG,UN55RU7100F,"SAMSUNG UN55RU7100F-TAM:55 PANTALLA SMART TV 4K DE 55"" SAMSUNG CON CONTROL SIN BASE PANTALLA SMART TV 4K DE 55"" SAMSUNG CON CONTROL SIN BASE",ver [1] fotos.,"$ 5,915.00","$ 5,915.00",Azcapotzalco,55-4160-5775
41065887.1,PANTALLAS (usado),TCL,43S425MX,TCL 43S425MX-TAM:43 PANTALLA TCL DE 43 PULGADAS CON CONTROL,ver [1] fotos.,"$ 2,500.00","$ 2,500.00",Azcapotzalco,55-4160-5775
41065889.1,PANTALLAS (usado),LG,32LQ630BPSA,"LG 32LQ630BPSA-TAM:32 PANTALLA SMART TV LG EN COLOR NEGRO CON BASES, CONTROL Y CABLE DETALLES POR USO SIN CONTROL PARENAL",ver [1] fotos,"$ 2,400.00","$ 2,400.00",Azcapotzalco,55-4160-5775
41065936.1,PANTALLAS (usado),TCL,40S351,TCL 40S351-TAM:40 PANTALLA SMART TV 40 PULGADAS EN COLOR NEGRO BASES CONTROL Y CABLE DE CORRIENTE EN CAJA DETALLES POR USO SIN CUENTA NI CONTROL PARENTAL,ver [1] fotos,"$ 3,000.00","$ 3,000.00",Azcapotzalco,55-4160-5775
41065981.1,PANTALLAS (usado),FIRETV,HD32N200M,FIRETV HD32N200M-TAM:32 PANTALLA SMART TV FIRE TV 32 PULGADAS SIN BASES CONTROL DETALLES POR USO SIN CUENTAS,ver [1] fotos,"$ 2,059.00","$ 2,059.00",Azcapotzalco,55-4160-5775
41066123.1,PANTALLAS (usado),ATVIO,ATV2212LED,ATVIO ATV2212LED-TAM:24 PANTALA MARCA ATVIO DE 24 PULGADAS CON CONTROL,ver [1] fotos,"$ 1,517.00","$ 1,517.00",Azcapotzalco,55-4160-5775
41066135.1,PANTALLAS (usado),LG,55UT7570PUB,LG 55UT7570PUB-TAM:55 PANTALLA SMART TV LG 55 PULGADAS EN COLOR NEGRO EN CAJA CON BASES Y CONTROL NUEVA,ver [1] fotos.,"$ 5,024.00","$ 5,024.00",Azcapotzalco,55-4160-5775
41066282.1,PANTALLAS (usado),ATVIO,UDL55MK662,ATVIO UDL55MK662-TAM:55 PANTALLA SMART TV ATVIO 55 PULGADAS NEGRA CONTROL SIN BASES SIN CONTROL PARENTAL EN ESTADO REGULAR CON LIJEROS GOLPES Y RASPONES,ver [1] fotos.,"$ 2,686.00","$ 2,686.00",Azcapotzalco,55-4160-5775
41066689.1,PANTALLAS (usado),SAMSUNG,SM,SAMSUNG SM-TAM:60 PANTALLA SMART 60 PULGADAS UN60AU8000F  CON CONTROL CON BASE CON DETALLE DE USO,ver [1] fotos.,"$ 7,066.00","$ 7,066.00",Azcapotzalco,55-4160-5775
