Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40043824.1,PC ESCRITORIO (usado),LENOVO,IDEACENTREAIO52022AST-RAM:8GB-DD:1TB,LENOVO IDEACENTREAIO52022AST-RAM:8GB-DD:1TB COMPUTADORA DE ESCRITORIO TODO EN UNO LENOVO 8GB RAM 1TB SSD CON CABLE DE ALIMENTACION MAUSE Y TECLADO INALAMBRICO CON DETALLES POR USO.,ver [1] fotos.,"$ 3,487.00","$ 3,487.00",Atizapán Plaza Cristal,55-4160-5890
40046713.1,PC ESCRITORIO (usado),LENOVO,IDEACENTREAIO24IRH9-RAM:16GB-DD:500GB,COMPUTADORA LENOVO IDEACENTREAIO24IRH9-RAM:16GB-DD:500GB CORE I 5 13VA 16 RAM 512SSD EN CAJA SE ABRE PARACONFIGURAR,ver [1] fotos.,"$ 9,856.00","$ 9,856.00",Atizapán Plaza Cristal,55-4160-5890
41065182.1,PC ESCRITORIO (usado),HP,RTL8821CE-RAM:4GB-DD:1TB,HP RTL8821CE-RAM:4GB-DD:1TB COMPUTADORA ALL IN ONE MARCA HP PROCESADOR AMD RADEON CON 4GB DE RAM Y 1TB DE CAPACIDAD CON TECLADO Y MOUSE,ver [1] fotos.,"$ 2,000.00","$ 2,000.00",Azcapotzalco,55-4160-5775
41065262.1,PC ESCRITORIO (usado),DELL,D03S-RAM:4GB-DD:250GB,DELL D03S-RAM:4GB-DD:250GB PC DE ESCRITORIO CORE I5 3RA GEN 4GB RAM 250GB DD WIFI WINDOWS 10 CON MOUSE Y TECLADO,ver [1] fotos.,"$ 1,900.00","$ 1,900.00",Azcapotzalco,55-4160-5775
41065482.1,PC ESCRITORIO (usado),LENOVO,10160-RAM:8GB-DD:1TB,LENOVO 10160-RAM:8GB-DD:1TB PC TODO EN UNO MARCA LENOVO CON 8GB Y 1TB,ver [1] fotos.,"$ 1,500.00","$ 1,500.00",Azcapotzalco,55-4160-5775
41065639.1,PC ESCRITORIO (usado),VIEW SONIC,TD2423D-RAM:8GB-DD:250GB,VIEW SONIC TD2423D-RAM:8GB-DD:250GB CPU CORE I5 11VA GENERACION 8GB EN RAM 250GB DD WINDOWS 10 PANTALLA TOUCH SIN CUENTAS NI CONTRASEÑAS,ver [1] fotos.,"$ 6,400.00","$ 6,400.00",Azcapotzalco,55-4160-5775
41065650.1,PC ESCRITORIO (usado),HP,PAVILLIOS3241LA-RAM:2GB-DD:320GB,HP PAVILLIOS3241LA-RAM:2GB-DD:320GB PC DE ESCRITORIO HP INTEL T2050 2GB RAM 320GB DD CON MOUSE Y TECLADO,ver [1] fotos.,"$ 1,474.00","$ 1,474.00",Azcapotzalco,55-4160-5775
41065720.1,PC ESCRITORIO (usado),DELL,SM-RAM:4GB-DD:500GB,DELL SM-RAM:4GB-DD:500GB PC MARCA DELL CON 4GB DE RAM 500DD CON TECLADO Y MOUSE,ver [1] fotos.,"$ 1,300.00","$ 1,300.00",Azcapotzalco,55-4160-5775
41065745.1,PC ESCRITORIO (usado),LANIX,AIO185-RAM:4GB-DD:500GB,LANIX AIO185-RAM:4GB-DD:500GB ALL IN ONE EN COLOR NEGRO 4 RAM 500 ROM INTEL CELERON WINDOWS 10 TECLADO Y RATON DETALLES POR USO SIN CUENTAS NI PATRON,ver [1] fotos.,"$ 2,600.00","$ 2,600.00",Azcapotzalco,55-4160-5775
41066014.1,PC ESCRITORIO (usado),HP,RT5390-RAM:10GB-DD:500GB,HP RT5390-RAM:10GB-DD:500GB PC TODO EN UNO MARCA HP DE 10GB EN RAM Y 500DD CON CABLE DE CORRIENTE,ver [1] fotos.,"$ 2,000.00","$ 2,000.00",Azcapotzalco,55-4160-5775
41066259.1,PC ESCRITORIO (usado),VIEWSONIC,TD2430-RAM:8GB-DD:250GB,VIEWSONIC TD2430-RAM:8GB-DD:250GB PC TODO EN UNO MARCA VIEWSONIC CORE I5 11TH GEN CON 8GB DE RAM Y 250DD TOUCH,ver [1] fotos.,"$ 4,258.00","$ 4,258.00",Azcapotzalco,55-4160-5775
211016048.1,PC ESCRITORIO (usado),DELL,W12C-RAM:16GB-DD:1TB,"DELL W12C-RAM:16GB-DD:1TB ----ESMALTE  COLOR NEGRO/GRIS TECLADO BT MOUSE ALAMBRICO MONITOR DE 24"" 2 ENTRADAS USB 1 ENTRADA MICRO SD 1 ENTRADA ETHERNET 2 ENTRADAS HDMI PANTALLA TOUCH DESGASTES DE USO RAY MAY",ver [1] fotos.,"$ 6,300.00","$ 6,300.00",Chalco Centro,55-4160-5839
52061913.1,PC ESCRITORIO (usado),LENOVO,SM-RAM:4GB-DD:500GB,ALL IN ONE LENOVO SM-RAM:4GB-DD:500GB CABLE DE CORRIENTE MOUSE TECLADO FLOJA UNA TECLE RAY/MAL DETALLES DE USO COMUN,ver [1] fotos.,"$ 1,109.00","$ 1,109.00",Chalco Soriana Valle,55-5985-0291
56023074.1,PC ESCRITORIO (usado),HP,HP205G3AIO-RAM:4GB-DD:1TB,HP HP205G3AIO-RAM:4GB-DD:1TB / COMPUTADORA CON TELCADO Y MOUSE DETALLES DE SU O POR CONDCION.,ver [1] fotos.,"$ 2,989.00","$ 2,989.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
92027378.1,PC ESCRITORIO (usado),LENOVO,IDEACENTREAIO33020IGM-RAM:4GB-DD:500GB,LENOVO IDEACENTREAIO33020IGM-RAM:4GB-DD:500GB COMPUTADORA LENOVO IDEACENTRE AIO 330-20IGM COLOR NEGRO EN CONDICIONES DE USO RAYADO Y MALTRATADO  POR USO DEL ARTICULO PROBADO FUNCIONANDO Y LIGEROS DETALLES ESTETICULO CARGADOR CABLE DE CORRIENTE TECLADO Y MOUSE,ver [1] fotos.,"$ 3,176.00","$ 3,176.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
