Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
58038449.1,PROYECTORES (usado),SM,SM,PROYECTOR SM SM COLOR NEGRO EN CAJA  CON CABLE DE CORRIENTE,ver [1] fotos.,$ 310.00,$ 310.00,Chalco Guadalupana,55-5980-4926
52062601.1,PROYECTORES (usado),INFOCUS,X2,INFOCUS X2,ver [1] fotos.,$ 533.00,$ 533.00,Chalco Soriana Valle,55-5985-0291
37028462.1,PROYECTORES (usado),NEC,V332W,"PROYECTOR NEC V332W EN CAJA CON CABLE, COLOR BLANCO, PRUEBA DE FUNCIONAMIENTO",ver [1] fotos.,"$ 3,100.00","$ 3,100.00",Chilpancingo,55-4160-5746
37030536.1,PROYECTORES (usado),NEC,NP905,PROYECTOR NEC NP905 COLOR BLANCO CON GRIS,ver [1] fotos.,"$ 2,700.00","$ 2,700.00",Chilpancingo,55-4160-5746
37030591.1,PROYECTORES (usado),NEC,NPV260X,PROYECTOR NEC NPV260X COLOR BLANCO DETALLES DE USO,ver [1] fotos.,"$ 2,700.00","$ 2,700.00",Chilpancingo,55-4160-5746
37030627.1,PROYECTORES (usado),sin marca,X10,"CONSOLA DE JUEGOS RETRO CON PROYECTOR, PROYECTOR SIN MARCA X10",ver [1] fotos.,"$ 1,035.00","$ 1,035.00",Chilpancingo,55-4160-5746
37030668.1,PROYECTORES (usado),sin marca,HY300,PROYECTOR SIN MARCA HY300 COLOR BLANCO CONTROL COLOR NEGRO DETALLES MÍNIMOS DE USO,ver [1] fotos.,$ 483.00,$ 483.00,Chilpancingo,55-4160-5746
92025797.1,PROYECTORES (usado),SONY,VPLEX50,PROYECTOR SONY VPLEX50 CON ACCESORIOS CON CONTROL SIN CAJA CONDICIONES DE USO,ver [1] fotos.,"$ 1,509.00","$ 1,509.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
92028928.1,PROYECTORES (usado),OTRA MARCA,A6,"PROYECTOR OTRA MARCA(PROYECTORANDROID) A6 0COLOR GRIS CON CABLE HDMI, CABLE DE CORRIENTE CONTROL EN CAJA PROBADO, FUNCIONANDO CON LIGEROS DETALLES ESTETICOS.",ver [1] fotos.,$ 590.00,$ 590.00,Chimalhuacán Barrio  Artesanos,55-4160-5763
51033209.1,PROYECTORES (usado),OTRA MARCA,V50,"PROYECTOR OTRA MARCA(WEWATCH) V50 //COLOR NEGRO,CON CONTROL,CABLE DE CORRIENTE,ACCESORIOS,CAJA,PROBADO,FUNCIONANDO Y LIGEROS  DETALLLES ESTETICOS.",ver [1] fotos.,"$ 1,089.00","$ 1,089.00",Chimalhuacán Centro,55-5985-0287
51034561.2,PROYECTORES (usado),BENQ,MX731,PROYECTOR BENQ MX731 // CON CABLES // CONTROL // PROTECTOR DEL LENTE // PROBADO FUNCIONANDO CON LIGEROS DETALLES.,ver [1] fotos.,"$ 2,475.00","$ 2,475.00",Chimalhuacán Centro,55-5985-0287
79028850.1,PROYECTORES (usado),EVL,PJ110,"EVL PJ110 PROYECTOR EVL COLOR BLANCO CON PUERTOS USB, HDMI, DEJA CON CABLE DE LUZ Y CONTROL, EN CAJA , PROBADO, FUNCIONANDO Y LIGEROS DETALLES ESTÉTICOS.",ver [1] fotos.,$ 949.00,$ 949.00,Chimalhuacán Las Torres,55-4160-5615
79029062.1,PROYECTORES (usado),SM,SM,"PROYECTOR SM SM , COLOR BLANCO, CON AMARILLO, EN CAJA, CON CABLE Y CLAVIJA, EN FUNCIONAMIENTO Y DESGASTE POR USO.",ver [1] fotos.,$ 428.00,$ 428.00,Chimalhuacán Las Torres,55-4160-5615
79029136.1,PROYECTORES (usado),SM,SM,"PROYECTOR SM SM , COLOR AMARILLO CON NEGRO, CON CABLE Y CLAVIJA, CON CONTROL, EN FUNCIONAMIENTO Y DESGASTE POR USO.",ver [1] fotos.,$ 429.00,$ 429.00,Chimalhuacán Las Torres,55-4160-5615
79030142.1,PROYECTORES (usado),EVL,RD803,EVL RD803 PROYECTOR EVL RD-803 212951 2000 LM. CON CONTROL CABLE DE CORRIENTE CAJA Y CONECTOR VGA PROBADO FUNCIONANADO Y LIGEROIS DETALLES ESTETICOS,ver [1] fotos.,"$ 1,558.00","$ 1,558.00",Chimalhuacán Las Torres,55-4160-5615
284009006.1,PROYECTORES (usado),BENQ,MX760,PROYECTOR BENQ MX760 EN COLOR NEGRO  SIN CONTROL CON CABLE HDMI Y CABLE DE ALIMENTACION CON DETALLES DE USO CUMPLE CON SU FUNCION,ver [1] fotos.,"$ 1,140.00","$ 1,140.00",Coacalco Bosques del Valle,55-4160-5869
284010051.1,PROYECTORES (usado),MAGCUBIC,SNMODELO,"PROYECTOR MAGCUBIC SNMODELO PROYECTOR BLANCO SIN  DETALLE FUNCIONANDO BIEN , CON CABLE , CONTROL Y PROTECTOR DE LENTE",ver [1] fotos.,$ 725.00,$ 725.00,Coacalco Bosques del Valle,55-4160-5869
