Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40045634.1,SMARTWATCH (usado),KATESPADE,DW9K1,"KATESPADE DW9K1 ESMALTE NEGRO CON MORADO, CON CARGADOR ORIGINAL",ver [1] fotos.,"$ 2,194.00","$ 2,194.00",Atizapán Plaza Cristal,55-4160-5890
40046105.1,SMARTWATCH (usado),IMILAD,W12,IMILAD W12 RELOJ INTELIGENTE PARA HOMBRE Y MUJER EN CAJA,ver [1] fotos.,$ 750.00,$ 750.00,Atizapán Plaza Cristal,55-4160-5890
40046105.2,SMARTWATCH (usado),IMILAD,W12,IMILAD W12 RELOJ INTELIGETE PARA DAMA Y CABALLERO EN CAJA,ver [1] fotos.,$ 750.00,$ 750.00,Atizapán Plaza Cristal,55-4160-5890
40046105.3,SMARTWATCH (usado),IMILAD,W12,IMILAD W12 RELOJ INTELIGENTE PARA DAMA Y CABALLERO EN CAJA,ver [1] fotos.,$ 750.00,$ 750.00,Atizapán Plaza Cristal,55-4160-5890
40047683.1,SMARTWATCH (usado),TICWATCH,WF12096,SMARTWATCH TICWATCH WF12096 NEGRO CON CARGADRO EN CAJA DESGASTE DE USO,ver [1] fotos,$ 917.00,$ 917.00,Atizapán Plaza Cristal,55-4160-5890
41059264.1,SMARTWATCH (usado),APPLE,A2727,APPLE A2727 APPLE WATCH SE 2023 (2A GEN) [GPS] CAJA DE ALUMINIO BLANCO ESTELAR DE 40 MM Y CORREA DEPORTIVA BLANCO ESTELAR EN CAJA CON CARGADOR DETALLES DE USO,ver [1] fotos.,"$ 2,065.00","$ 2,065.00",Azcapotzalco,55-4160-5775
41064388.2,SMARTWATCH (usado),SM,SM,SM SM RELOJ SMART WATCH EN COLOR NEGRO EN ESATDO REGULAR CON GOLPES Y RASPONES CABLE DE CORRIENTE,ver [1] fotos.,$ 100.00,$ 100.00,Azcapotzalco,55-4160-5775
41065178.1,SMARTWATCH (usado),APPLE,A2770,APPLE A2770 APPLE WATCH SERIES 8 32GB EN CAJA CON CORREA CARGADOR Y CAJA SE ENLAZO EN SUCURSAL,ver [1] fotos.,"$ 4,200.00","$ 4,200.00",Azcapotzalco,55-4160-5775
41065286.1,SMARTWATCH (usado),VAK,VDY3N,VAK VDY3N SMART WATCH CON AUDIFONOS Y DOS CORREAS,ver [1] fotos.,$ 538.00,$ 538.00,Azcapotzalco,55-4160-5775
41065286.2,SMARTWATCH (usado),FITPRO,T500,FITPRO T500 SMARTWARCH CON CARGADOR EN CAJA,ver [1] fotos.,$ 506.00,$ 506.00,Azcapotzalco,55-4160-5775
