Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40045925.2,TABLETAS (usado),SAMSUNG,SMX210-MEM:128GB,"SAMSUNG SMX210-MEM:128GB TABLET SAMSUNG GALAXY TAB A9 PLUS 11"", 128GB, ANDROID 13, GRIS EN CAJA DETALLES DE USO",ver [1] fotos,"$ 3,002.00","$ 3,002.00",Atizapán Plaza Cristal,55-4160-5890
40046991.1,TABLETAS (usado),APPLE,A2270-MEM:32GB,APPLE A2270-MEM:32GB IPAD DE 32GB DE OCTAGENERACION /MARCAS DE USO EN LA PARTE TRASERA Y UN GOLPE LA ESQUINA/CARGADOR,ver [1] fotos.,"$ 2,200.00","$ 2,200.00",Atizapán Plaza Cristal,55-4160-5890
40047079.1,TABLETAS (usado),SAMSUNG,SMT220-MEM:32GB,SAMSUNG SMT220-MEM:32GB TABLET DE 10 PULGADAS CARGADRO EN CAJA/MARCAS DE USO,ver [1] fotos.,"$ 1,654.00","$ 1,654.00",Atizapán Plaza Cristal,55-4160-5890
40047126.1,TABLETAS (usado),APPLE,A2133-MEM:64GB,APPLE A2133-MEM:64GB IPAD MINI 5 DE 64GB/CARGADOR GENERICO/ NEGRA MARCAS DE USO,ver [1] fotos.,"$ 2,900.00","$ 2,900.00",Atizapán Plaza Cristal,55-4160-5890
40047178.1,TABLETAS (usado),SAMSUNG,SMX110-MEM:64GB,TABLET SAMSUNG SMX110-MEM:64GB,ver [1] fotos.,"$ 1,422.00","$ 1,422.00",Atizapán Plaza Cristal,55-4160-5890
40047307.1,TABLETAS (usado),SAMSUNG,SMT540-MEM:64GB,TABLET SAMSUNG SMT540-MEM:64GB ACTIVE PRO DE 64 GB COLOR NEGRO SIN CARGADOR DESGASTE DE USO,ver [1] fotos.,"$ 3,200.00","$ 3,200.00",Atizapán Plaza Cristal,55-4160-5890
40047825.1,TABLETAS (usado),APPLE,A1432-MEM:32GB,TABLE APPLE A1432-MEM:32GB COLOR AZUL DETALLES DE USO CON FUNDA CABLE,ver [1] fotos,$ 853.00,$ 853.00,Atizapán Plaza Cristal,55-4160-5890
MG1854,TABLETAS (nuevo),APPLE,MK2L3LL SILVER,APPLE - 10.2-INCH IPAD (9TH GENERATION) WITH WI-FI - 64GB - SILVER,---,"$ 4,699.00","$ 4,699.00",Atizapán Plaza Cristal,55-4160-5890
MG1855,TABLETAS (nuevo),APPLE,MK2K3LL SPACE GRAY,APPLE - 10.2-INCH IPAD (9TH GENERATION) WITH WI-FI - 64GB - GRAY,---,"$ 4,699.00","$ 4,699.00",Atizapán Plaza Cristal,55-4160-5890
MG2040,TABLETAS (nuevo),AMAZON,B08BX7FV5L,AMAZON - FIRE HD 10 10.1 TABLET 32 GB - BLACK,---,"$ 1,999.00","$ 1,999.00",Atizapán Plaza Cristal,55-4160-5890
