Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40047601.2,TV BOX (usado),ROKU,3920X,ROKU 3920X ROKU CONN CABLE HDMI Y V8 CONTROL DESGASTE DE USO,ver [1] fotos.,$ 336.00,$ 336.00,Atizapán Plaza Cristal,55-4160-5890
41062343.1,TV BOX (usado),ROKU,3500X,ROKU 3500X DISPOSITIVO ROKU TV HD EN COLOR NEGRO CONTROL SIN CABLE SE CHECA FUNCIONAMIENTO,ver [1] fotos.,$ 123.00,$ 123.00,Azcapotzalco,55-4160-5775
41063084.1,TV BOX (usado),MEGAFIRE,MFMQXO1,MEGAFIRE MFMQXO1 CODIFICADOR MEGAFIRE 4K DESGASTE DEUSO,ver [1] fotos.,$ 440.00,$ 440.00,Azcapotzalco,55-4160-5775
52059051.2,TV BOX (usado),APPLE,A1469,APPLE A1469 APPLE TV COLOR NEGRO BUEN FUNCIONAMIENTO RAY/MAL POR USO,ver [1] fotos.,$ 792.00,$ 792.00,Chalco Soriana Valle,55-5985-0291
92025788.1,TV BOX (usado),MXQ,PRO4K,MXQ PRO4K TV BOX MXQ PRO 5G 4K EN CONDICIONES DE USO RAYADO Y MALTRTATADO POR USO DEL ARTICULO CONTROL CARGADOR Y CABLE DE HDMI Y CAJA,ver [1] fotos.,$ 388.00,$ 388.00,Chimalhuacán Barrio  Artesanos,55-4160-5763
92027175.1,TV BOX (usado),XIAOMI,STICK0722,XIAOMI STICK0722 TV STOKC TV CON CANLE DE CORRIENTE Y HDMI,ver [1] fotos.,$ 143.00,$ 143.00,Chimalhuacán Barrio  Artesanos,55-4160-5763
68020530.1,TV BOX (usado),GOOGLE,CHROMECAST,"GOOGLE CHROMECAST REPRODUCTOR DE INTERNET EN CONDICIONES  DE USO , FUNCIONANDO , EN CAJA",ver [1] fotos.,$ 346.00,$ 346.00,Coacalco Bosques del Valle,55-4160-5869
75030352.1,TV BOX (usado),AMAZON,S3L46N,FIRE TV AMAZON S3L46N CON ACCESORIOS CONTROL DETALLES DE USO,ver [1] fotos.,$ 643.00,$ 643.00,Coyoacán Plaza Cantil,55-4160-5768
3048553.1,TV BOX (usado),SM,N9090,"RECEPTOR MULTIMEDIA CLARO VIDEO . SM N9090 EN CAJA, DETALLES DE USO",ver [1] fotos,$ 430.00,$ 430.00,Cuautepec,55-5985-0281
258028238.1,TV BOX (usado),ROKU,3930X,"ROKU 3930X CON ALGUNOS GOLPES/RAYONES , SIN CAJA CON CONTROL",ver [1] fotos.,$ 424.00,$ 424.00,Cuautepec Barrio Alto,55-4160-4154
71021834.1,TV BOX (usado),APPLE,A2169,APPLE A2169 APPLE TV EN CAJA CON ACCESORIOS,ver [1] fotos.,"$ 2,139.00","$ 2,139.00",Cuautitlán Izcalli Portal Cuautitlán,55-4160-5667
30094739.1,TV BOX (usado),ROKU,3820X2,"ROKU 3820X2 ROKU STREAMING STICK 4K MODELO 3820 COLOR NEGRO, CON CABLE USB , CONTROL , ARTICULO EN BUENAS CONDICIONES",ver [1] fotos.,$ 506.00,$ 506.00,Ecatepec Center Plazas,55-4160-5881
76023133.2,TV BOX (usado),ROKU,SM,"CONVERTIDOR ROKU SM STICK, 4K CON ASISTENTE DE VOZ, CABLE DE ALIM Y CONTROL (CINTA), CON DETALLES DE USO.",ver [1] fotos.,$ 200.00,$ 200.00,Ecatepec Gobernadora,55-4160-5837
76026073.2,TV BOX (usado),GOOGLE,NC26A5,DISPOSITIVO DE TRANSMISIÓN DE MEDIOS GOOGLE NC26A5 COLOR NEGRO,ver [1] fotos.,$ 246.00,$ 246.00,Ecatepec Gobernadora,55-4160-5837
217016092.1,TV BOX (usado),GOOGLE,NC26A5,GOOGLE NC26A5 GOOGLE CHROMECAST 3RA GEN GRIS,ver [1] fotos.,$ 300.00,$ 300.00,Ecatepec Muzquiz,55-4160-5766
62035747.5,TV BOX (usado),APPLE,A1469,APPLE TV APPLE A1469 CON CONTROL CABLE DE ALIMENTACION Y HDMI DESGASTE Y RAYONES NO AFECTAN FUNCION 64GB,ver [1] fotos.,$ 775.00,$ 775.00,Ecatepec Palomas,55-5980-4931
62039318.1,TV BOX (usado),SELECT,SSBOX1,TV BOX SELECT SSBOX1 CON CONTROL CABLE DE CORRIENTE Y CABLE HDMI POCO MALTRATADO POR USO,ver [1] fotos,$ 356.00,$ 356.00,Ecatepec Palomas,55-5980-4931
61034402.4,TV BOX (usado),APPLE,579CA1469,APPLE 579CA1469 SISTEMA DE ENTRETENIMIENTO MARCA APPLE CON CONTROL CON CABLE DE CORRIENTE SERIE//579C-A1469 DETALLES DE USO DEVALUADO POR CONDICION,ver [1] fotos.,$ 701.00,$ 701.00,Ecatepec Santa Clara,55-5980-4918
61034402.5,TV BOX (usado),APPLE,A1469,APPLE A1469 SISTEMA DE ENTRETENIMIENTO MARCA APPLE CON CARGADOR CABLE DE CORRIENTE Y HMDI SERIE//579C-A1469 DEVALUADO POR DETALLES DE USO,ver [1] fotos.,$ 701.00,$ 701.00,Ecatepec Santa Clara,55-5980-4918
61038708.1,TV BOX (usado),ROKU,3940X2,ROKU 3940X2 DISPOSITIVO STREAMING CON CONTROL ROKU EXPRESS,ver [1] fotos.,$ 508.00,$ 508.00,Ecatepec Santa Clara,55-5980-4918
1130241.1,TV BOX (usado),APPLE,A1469,"APPLE A1469 APPLE TV MODELO A1469, DETALLES DE USO, CONTROL, CABLES DE CONEXION, RAY MALT.",ver [1] fotos.,$ 477.00,$ 477.00,Héroes Ixtapaluca,55-4160-5674
1134710.1,TV BOX (usado),SM,SM,"SM SM SMART TV BOX, DETALLES DE USO, CONTROL, CCABLE DE CORRIENTE, RAY MALT",ver [1] fotos.,$ 169.00,$ 169.00,Héroes Ixtapaluca,55-4160-5674
17077107.1,TV BOX (usado),APPLE,A1469,APPLE TV APPLE A1469 ENBUEN FUNCIONAMIENTO CON CONTROL DESGASET POR USO,ver [1] fotos.,$ 379.00,$ 379.00,Nezahualcóyotl Adolfo López Mateos,55-4160-5759
17077107.2,TV BOX (usado),APPLE,A1469,APPLE TV APPLE A1469 EN BUEN FUNCIONAMIENTO EN CAJA CON CONTROL,ver [1] fotos.,$ 442.00,$ 442.00,Nezahualcóyotl Adolfo López Mateos,55-4160-5759
17080777.1,TV BOX (usado),XIAOMI,MDZ22AG,"MI BOX S 4K XIAOMI MDZ22AG , CONTROL, HDMI, ADAPTADOR DE CORRIENTE, ARTICULO EN CAJA, PROBADO, FUNCIONANDO CON LIGEROS DETALLES ESTÉTICOS.",ver [1] fotos.,$ 911.00,$ 911.00,Nezahualcóyotl Adolfo López Mateos,55-4160-5759
26052946.1,TV BOX (usado),GOOGLE,CHROMECAST,TV BOX GOOGLE CHROMECAST CON ACCESORIOS EN CAJA,ver [1] fotos.,"$ 1,050.00","$ 1,050.00",Nicolás Romero,55-4160-5743
39042099.2,TV BOX (usado),ROKU,3960MX,"ROKU 3960MX REPRODUCTOR DE STREAMING ROKU EXPRESS ROK3960MX CON CALBE DE ALIMENTACION,HDMI Y CONTROL EN CAJA",ver [1] fotos.,$ 247.00,$ 247.00,Plaza Atizapán,55-4160-5651
34052433.1,TV BOX (usado),APPLE,A1469,APPLE A1469 APPLE TV 3ª GENERACIÓN 8 GB (WIFI) A1469 NEGRO MARCAS DE USO,ver [1] fotos.,$ 460.00,$ 460.00,Plaza Chimalhuacán,55-4160-5658
266014909.1,TV BOX (usado),ROKU,3930X,TV BOX ROKU 3930X COLOR NEGRO CON SU CONTROL,ver [1] fotos,$ 459.00,$ 459.00,Plaza Coacalco,55-4160-5700
215016010.1,TV BOX (usado),GOOGLE,NC26A5,GOOGLE NC26A5 GOOGLE CROMECAST COLOR ROJO SE CHECA FUNCIONAMIENTO,ver [1] fotos.,$ 529.00,$ 529.00,Plaza Ecatepec,55-4160-5840
5138515.2,TV BOX (usado),ROCKSTAR,RTV101,TV BOX ROCKSTAR RTV101 // SIN CAJA // CON CONTROL SIN TAPA // CABLE HDMI // DETALLES DE USO RAY MALT,ver [1] fotos.,$ 174.00,$ 174.00,Plaza Ixtapaluca,55-4160-5680
264020251.1,TV BOX (usado),OTRA MARCA,N12,"CONVERTIDOR DE PANTALLA SMART TV OTRA MARCA(EVLPRO) N12 CON CAJA, CABLE DE CORRIENTE, CONTROL,CABLE DE CONEXION HDMI, PILAS Y MANUAL DE USUARIO",ver [1] fotos.,$ 759.00,$ 759.00,Plaza Tizara,55-4160-5762
298001802.1,TV BOX (usado),INTEL,STK1AW32SC,COMPUTER STICK INTEL STK1AW32SC COLOR NEGRO CANLE USB ARTICULO CON RASGOS DE USO QUE NO AFECTAN SU FUNCION,ver [1] fotos.,"$ 1,206.00","$ 1,206.00",PORTAL TULTITLAN,55-8880-1471
276009436.2,TV BOX (usado),ROKU,3960R,SISTEMA ROKU 3960R EXPRESS HD SEMINUEVO EN CAJA,ver [1] fotos.,$ 500.00,$ 500.00,Recursos Hidráulicos Ecatepec,55-4160-6450
276009953.2,TV BOX (usado),MXQ,4K,TV BOX MXQ 4K CONTROL SIN TAPA/CABLE DE USB Y ADAPTADOR/CABLE HMI EN CAJA,ver [1] fotos.,$ 400.00,$ 400.00,Recursos Hidráulicos Ecatepec,55-4160-6450
268018599.1,TV BOX (usado),CHROMECAST,NC26A5,"ADAPTADOR CHROMECAST NC26A5 TRANSMISIÓN INSTANTÁNEA DESDE COMPUTADORA PORTÁTIL, PC, TELÉFONO INTELIGENTE A PROYECTOR DE TV, DESGASTE POR USO",ver [1] fotos,$ 510.00,$ 510.00,Tecámac Centro,55-4160-5620
20092787.1,TV BOX (usado),APPLE,A1842,APPLE A1842 COLOR NEGRO CON CONTROL EN REGULARES CONDICIONES POR USO,ver [1] fotos.,"$ 1,513.00","$ 1,513.00",Tecámac Macroplaza,55-4160-5726
32109512.2,TV BOX (usado),GREENLEAF,SM,GREENLEAF SM SMART TV BOX GREEN LEAF 4K ULTRA,ver [1] fotos.,$ 381.00,$ 381.00,Texcoco Mercado San Antonio,55-4160-5885
32109579.3,TV BOX (usado),GREENLEAF,and6000,GREENLEAF AND6000 CONVERTIDOR SMARTV COLOR NEGRO CON CONTROL Y CABLE,ver [1] fotos.,$ 412.00,$ 412.00,Texcoco Mercado San Antonio,55-4160-5885
32109742.3,TV BOX (usado),GREENLEAF,and6000,TV BOX GREENLEAF AND6000 COLOR NEGRO CON CONTROL EN CAJA Y ACCESORIOS,ver [1] fotos.,$ 240.00,$ 240.00,Texcoco Mercado San Antonio,55-4160-5885
