Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40041711.1,LAPTOP Y MINI LAPTOP (usado),HP,HPPROBOOK440G9-RAM:8GB-DD:500GB,"HP HPPROBOOK440G9-RAM:8GB-DD:500GB LAPTOP HP 8GB RAM 512GB SSD CON CARGADOR ORIGINAL, MANUAL, EN CAJA EN BUEN ESTADO.",ver [1] fotos.,"$ 5,500.00","$ 5,500.00",Atizapán Plaza Cristal,55-4160-5890
40042615.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,THINKPADT14GEN1-RAM:16GB-DD:128GB,"LENOVO THINKPADT14GEN1-RAM:16GB-DD:128GB LAPTOP LENOVO THINKPAD T14 G1 14"" HD, INTEL CORE I5-10210U 1.60GHZ, 8GB, 512GB SSD (NUEVA) EN CAJA.",ver [1] fotos.,"$ 7,800.00","$ 7,800.00",Atizapán Plaza Cristal,55-4160-5890
40042765.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,21E4S0XX00-RAM:16GB-DD:250GB,LENOVO 21E4S0XX00-RAM:16GB-DD:250GB LAPTOP LENOVO THINKPAD COLOR NEGRO DD 250GB RAM 16GB PROCESADOR INTEL CORE I5 CON CARGADOR EN CAJA,ver [1] fotos.,"$ 6,772.00","$ 6,772.00",Atizapán Plaza Cristal,55-4160-5890
40043063.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,IDEADPAD314ALC6-RAM:8GB-DD:500GB,LENOVO IDEADPAD314ALC6-RAM:8GB-DD:500GB LAPTOP LENOVO 8GB RAM 500GB DD COLOR NEGRO CON CARGADOR EN CAJA,ver [1] fotos.,"$ 3,579.00","$ 3,579.00",Atizapán Plaza Cristal,55-4160-5890
40043399.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,T480-RAM:8GB-DD:1TB,LENOVO T480-RAM:8GB-DD:1TB LAPTOP LENOVOTHINKPAD 8GB RAM 1TB DD COLOR NEGRO CON CARGADOR,ver [1] fotos.,"$ 6,958.00","$ 6,958.00",Atizapán Plaza Cristal,55-4160-5890
40043411.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,TP00120E-RAM:8GB-DD:250GB,LENOVO TP00120E-RAM:8GB-DD:250GB LAPTOP LENOVO 8GB RAM 250GB DD CON CARGADOR,ver [1] fotos.,"$ 6,543.00","$ 6,543.00",Atizapán Plaza Cristal,55-4160-5890
40043520.1,LAPTOP Y MINI LAPTOP (usado),DELL,LATITUDE3400-RAM:24GB-DD:250GB,DELL LATITUDE3400-RAM:24GB-DD:250GB LAPTOP DELL COLOR NEGRO DD 250GB RAM 20GB PROCESADOR INTEL CORE I5 CON CARGADOR DETALLES DE USO,ver [1] fotos.,"$ 4,324.00","$ 4,324.00",Atizapán Plaza Cristal,55-4160-5890
40043943.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,LEGION515ACH6-RAM:16GB-DD:500GB,LENOVO LEGION515ACH6-RAM:16GB-DD:500GB LAPTOP LENOVO LEGION 5 16GB RAM 512GB SSD CON CARGADOR EN CAJA,ver [1] fotos.,"$ 9,580.00","$ 9,580.00",Atizapán Plaza Cristal,55-4160-5890
40044298.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,81W0-RAM:8GB-DD:1TB,LENOVO 81W0-RAM:8GB-DD:1TB LAPTOP LENOVO 8GB RAM 1TB DD COLOR AZUL CON CARGADOR,ver [1] fotos.,"$ 2,927.00","$ 2,927.00",Atizapán Plaza Cristal,55-4160-5890
22054722.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,IDEAPAD315ADA05-RAM:8GB-DD:1TB,"LAPTOPCON CARGADOR , DETALLES DE USO LENOVO IDEAPAD315ADA05-RAM:8GB-DD:1TB NO TOMA CPUZ AUTORIZA GERENTE",ver [1] fotos.,"$ 2,844.00","$ 2,844.00",Oaxaca Plaza Bella,800-022-6262
