Prenda / Sku Lote,Familia,Marca,Modelo,Descripción,Imagenes,Precio Venta,Precio Promoción,Tienda,Tel. Tienda
40042615.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,THINKPADT14GEN1-RAM:16GB-DD:128GB,"LENOVO THINKPADT14GEN1-RAM:16GB-DD:128GB LAPTOP LENOVO THINKPAD T14 G1 14"" HD, INTEL CORE I5-10210U 1.60GHZ, 8GB, 512GB SSD (NUEVA) EN CAJA.",ver [1] fotos.,"$ 7,800.00","$ 7,800.00",Atizapán Plaza Cristal,55-4160-5890
40042765.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,21E4S0XX00-RAM:16GB-DD:250GB,LENOVO 21E4S0XX00-RAM:16GB-DD:250GB LAPTOP LENOVO THINKPAD COLOR NEGRO DD 250GB RAM 16GB PROCESADOR INTEL CORE I5 CON CARGADOR EN CAJA,ver [1] fotos.,"$ 6,772.00","$ 6,772.00",Atizapán Plaza Cristal,55-4160-5890
40043399.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,T480-RAM:8GB-DD:1TB,LENOVO T480-RAM:8GB-DD:1TB LAPTOP LENOVOTHINKPAD 8GB RAM 1TB DD COLOR NEGRO CON CARGADOR,ver [1] fotos.,"$ 6,958.00","$ 6,958.00",Atizapán Plaza Cristal,55-4160-5890
40043943.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,LEGION515ACH6-RAM:16GB-DD:500GB,LENOVO LEGION515ACH6-RAM:16GB-DD:500GB LAPTOP LENOVO LEGION 5 16GB RAM 512GB SSD CON CARGADOR EN CAJA,ver [1] fotos.,"$ 9,580.00","$ 9,580.00",Atizapán Plaza Cristal,55-4160-5890
41060384.1,LAPTOP Y MINI LAPTOP (usado),DELL,LATTITUDE5400-RAM:16GB-DD:250GB,DELL LATTITUDE5400-RAM:16GB-DD:250GB LAPTOP DELL INTEL CORE I7 16GB RAM 256GB SSD PANTALLA TOUCH CARGADOR ORIGINAL SIN CAJA DETALLES DE USO,ver [1] fotos.,"$ 6,219.00","$ 6,219.00",Azcapotzalco,55-4160-5775
41060548.2,LAPTOP Y MINI LAPTOP (usado),LENOVO,L470-RAM:8GB-DD:500GB,LENOVO L470-RAM:8GB-DD:500GB LAPTOP THINKPAD LENOVO CORE I7 7TH 8GB RAM 500GBDD WINDOWS 10 CON CARGADOR SIN CUENTAS NI CONTRASEÑAS,ver [1] fotos.,"$ 2,217.00","$ 2,217.00",Azcapotzalco,55-4160-5775
41062629.2,LAPTOP Y MINI LAPTOP (usado),HP,PROBOOK440G7-RAM:16GB-DD:500GB,HP PROBOOK440G7-RAM:16GB-DD:500GB LAPTOP HP PROBOOK CORE I7 10MA GEN 16GB RAM 500GB DD WINDOWS 10 CON CARGADOR SIN CUENTAS,ver [1] fotos.,"$ 4,673.00","$ 4,673.00",Azcapotzalco,55-4160-5775
41064498.1,LAPTOP Y MINI LAPTOP (usado),HP,PROBOOK440G6-RAM:16GB-DD:250GB,HP PROBOOK440G6-RAM:16GB-DD:250GB LAPTOP HP PROBOOK 440 G6 CORE I7 8VA GEN 16GB RAM 250GB DD WINDOWS 10 CON CARGADOR SIN CUENTAS NI CONTRASEÑAS,ver [1] fotos.,"$ 4,500.00","$ 4,500.00",Azcapotzalco,55-4160-5775
41064574.1,LAPTOP Y MINI LAPTOP (usado),HP,PROBOOK440G6-RAM:8GB-DD:500GB,HP PROBOOK440G6-RAM:8GB-DD:500GB LAPTOP HP PROBOOK G6 CORE I7 8VA GEN 8GB EN RAM 500GB DD CON CARGADOR SIN CUENTAS,ver [1] fotos.,"$ 4,500.00","$ 4,500.00",Azcapotzalco,55-4160-5775
41064579.1,LAPTOP Y MINI LAPTOP (usado),HP,PROBOOK440G7-RAM:8GB-DD:500GB,HP PROBOOK440G7-RAM:8GB-DD:500GB LAPTOP HP PROBOOK G7 CORE I7 10MA GEN 8GB RAM 500GB DD CON CARGADOR SIN CUENTAS,ver [1] fotos.,"$ 5,120.00","$ 5,120.00",Azcapotzalco,55-4160-5775
41065077.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,L480-RAM:8GB-DD:500GB,LENOVO L480-RAM:8GB-DD:500GB LAPTOP LENOVO L480 CORE I7 8VA GEN 8GB RAM 500GB DD  WINDOWS 10 CON CARGADOR SIN CUENTAS NI CONTRASEÑAS,ver [1] fotos.,"$ 2,600.00","$ 2,600.00",Azcapotzalco,55-4160-5775
41064872.1,LAPTOP Y MINI LAPTOP (usado),DELL,LATITUDE5490-RAM:24GB-DD:500GB,"DELL LATITUDE5490-RAM:24GB-DD:500GB LAPTOP DELL 5490- 14""-INTEL CORE I7-8A GENERACIÓN-24GB RAM-500GB DESGASTE DE USO",ver [1] fotos.,"$ 4,000.00","$ 4,000.00",Azcapotzalco,55-4160-5775
41064879.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,L470-RAM:4GB-DD:500GB,LENOVO L470-RAM:4GB-DD:500GB LAPTOP LENOVO DE 4GB DE RAM Y 500DD CORE I7  CON CARGADOR,ver [1] fotos.,"$ 2,850.00","$ 2,850.00",Azcapotzalco,55-4160-5775
41065867.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,L460-RAM:8GB-DD:500GB,LENOVO L460-RAM:8GB-DD:500GB LAPTOP LENOVO CORE I7  DE 8GB DE RAM  Y 500 DD CON CARGADOR,ver [1] fotos.,"$ 2,600.00","$ 2,600.00",Azcapotzalco,55-4160-5775
41065238.3,LAPTOP Y MINI LAPTOP (usado),DELL,INSPIRON153511-RAM:8GB-DD:250GB,DELL INSPIRON153511-RAM:8GB-DD:250GB DETALLE EN PANTALLA NADA QUE AFECTE FUNCION CORE I7 6500U 8RAM WINDWS 10 HOME CON CARGADOR,ver [1] fotos.,"$ 3,420.00","$ 3,420.00",Azcapotzalco,55-4160-5775
41065417.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,L480-RAM:4GB-DD:320GB,LENOVO L480-RAM:4GB-DD:320GB LAPTOP LENOVO L480 CORE I7 8VA GEN 320GB DD WINDOWS 10 CON CARGADOR,ver [1] fotos.,"$ 2,800.00","$ 2,800.00",Azcapotzalco,55-4160-5775
41065876.1,LAPTOP Y MINI LAPTOP (usado),APPLE,A1990-RAM:32GB-DD:1TB,APPLE A1990-RAM:32GB-DD:1TB MACBOOK PRO A 1990 DE 32GB  RAM Y 1TB DD CON CARGADOR,ver [1] fotos.,"$ 9,600.00","$ 9,600.00",Azcapotzalco,55-4160-5775
41065925.1,LAPTOP Y MINI LAPTOP (usado),APPLE,A1466-RAM:8GB-DD:250GB,APPLE A1466-RAM:8GB-DD:250GB LAPTOP MACBOOK AIR  PROCESADOR CORE I3 DE 8GB EN RAM Y 250DD CON CARGADOR   MONTO A PETICION DEL CLIENTE,ver [1] fotos.,"$ 3,600.00","$ 3,600.00",Azcapotzalco,55-4160-5775
41066103.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,L570-RAM:8GB-DD:250GB,LENOVO L570-RAM:8GB-DD:250GB LAPTOPS LENOVO THINKPAD CORE I7 7500U  8 RAM WINDOWS 11PRO 250GB  CON BOLSO CARGADOR Y CON DOCK,ver [1] fotos.,"$ 4,162.00","$ 4,162.00",Azcapotzalco,55-4160-5775
73022125.1,LAPTOP Y MINI LAPTOP (usado),DELL,XPS157590-RAM:16GB-DD:500GB,DELL XPS157590-RAM:16GB-DD:500GB LAPTOP DELL XPS 15 PULGADAS FHD+INTEL CORE I7-9TH 16 GB RAM 512 GB SSD WINDOWS 11,ver [1] fotos.,"$ 11,312.00","$ 11,312.00",Chalco Centro,55-4160-5839
1129167.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,THINKPADX13YOGAGEN2-RAM:16GB-DD:500GB,LAP TOP LENOVO THINKPADX13YOGAGEN2-RAM:16GB-DD:500GB // COLOR NEGRO CARGADOR ORIGINAL,ver [1] fotos.,"$ 9,091.00","$ 9,091.00",Chalco Guadalupana,55-5980-4926
60043766.1,LAPTOP Y MINI LAPTOP (usado),HUAWEI,BOMWFP9-RAM:16GB-DD:500GB,"LAPTOP HUAWEI BOMWFP9-RAM:16GB-DD:500GB ,MATEBOOK D15 RYZEN 7/16GB RAM,512 GB, DD,SERIE SBMPM23726000787,COLOR PLATA,CARGADOR ELIMINADOR CON ENTRADAS TIPO C,EN CAJA MISMA MARCA.",ver [1] fotos.,"$ 6,506.00","$ 6,506.00",Ecatepec Jardines de Morelos,55-5980-4930
20093928.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,THINKPADX1CARBONGEN9-RAM:16GB-DD:500GB,"LAPTOP LENOVO THINKPADX1CARBONGEN9-RAM:16GB-DD:500GB COLOR NEGRO, DETALLES DE USO, NO AFECTA FUNCION/ CON CARGADOR",ver [1] fotos.,"$ 8,504.00","$ 8,504.00",Tecámac Macroplaza,55-4160-5726
41064825.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,L460-RAM:8GB-DD:128GB,LENOVO L460-RAM:8GB-DD:128GB LAPTOP LENOVO  CORE I7 DE 8GB DE RAM Y 128GB DD CON CARGADOR,ver [1] fotos.,"$ 3,200.00","$ 3,200.00",Chilpancingo,55-4160-5746
73022242.1,LAPTOP Y MINI LAPTOP (usado),DYNABOOK,TECRAA50K-RAM:16GB-DD:500GB,"DYNABOOK TECRAA50K-RAM:16GB-DD:500GB DYNABOOK TECRA A50-K1538 INTEL CORE I7-12, 16GB/512GB SSD",ver [1] fotos.,"$ 10,584.00","$ 10,584.00",Chilpancingo,55-4160-5746
32106895.1,LAPTOP Y MINI LAPTOP (usado),HP,ZBOOKFIREFLY15G8-RAM:32GB-DD:500GB,"HP ZBOOKFIREFLY15G8-RAM:32GB-DD:500GB LAPTOP COLOR PLATA, PROCESADOR CORE I7 11TH GEN, CARGADOR ORIGINAL, ARTICULO DE USO",ver [1] fotos.,"$ 12,000.00","$ 12,000.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
32106971.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,THINKPADX13GEN3-RAM:16GB-DD:500GB,"LENOVO THINKPADX13GEN3-RAM:16GB-DD:500GB LAPTOP, PROCESADOR CORE I7 12GEN, CARGADOR ORIGINAL, ARTICULO DE USO",ver [1] fotos.,"$ 16,530.00","$ 16,530.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
92025523.1,LAPTOP Y MINI LAPTOP (usado),APPLE,A1398-RAM:16GB-DD:500GB,"APPLE A1398-RAM:16GB-DD:500GB MACBOOK PRO 15 2014 I7 2.5GHZ, 16GB RAM, 500 SSD RETINA EN CONDICIONES DE USO RAYADO Y MALTRATADA POR USO DEL ARTICULO CARGADOR",ver [1] fotos.,"$ 5,154.00","$ 5,154.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
92025601.1,LAPTOP Y MINI LAPTOP (usado),LENOVO,THINKPADX1YOGA3GEN-RAM:16GB-DD:250GB,LENOVO THINKPADX1YOGA3GEN-RAM:16GB-DD:250GB LENOVO THINKPAD X1 YOGA 3RD I7 16GB 250GB CON PLUMA PANTALLA TOUCH EN CONDICIONES DE USO RAYADO Y MALTRATADO POR USO DEL ARTICULO CARGADOR Y CABLE DE CORRIENTE,ver [1] fotos.,"$ 5,229.00","$ 5,229.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
92028113.1,LAPTOP Y MINI LAPTOP (usado),APPLE,A2141-RAM:32GB-DD:1TB,APPLE A2141-RAM:32GB-DD:1TB MACBOOK PRO 2019 16 I9 2.4GHZ 64GB RAM DDR4 1TB SSD COLOR GRIS CARGADOR Y CABLE DE CARGA EN BUENAS CONDICIONES PROBADA FUNCIONANADO Y LIGEROS DETALLES ESTETICOS,ver [1] fotos.,"$ 12,500.00","$ 12,500.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
92028964.1,LAPTOP Y MINI LAPTOP (usado),MSI,THIN15B12VE-RAM:16GB-DD:500GB,LAPTOP MSI THIN15B12VE-RAM:16GB-DD:500GB COLOR GRIS EN BUEN ESTADO Y CORRECTO FUNCIONAMIENTO CON CARGADOR ARTICULO CORE I7 TARJETA NVIDIA ARTICULO USADO,ver [1] fotos.,"$ 12,391.00","$ 12,391.00",Chimalhuacán Barrio  Artesanos,55-4160-5763
51033383.2,LAPTOP Y MINI LAPTOP (usado),APPLE,A2251-RAM:16GB-DD:1TB,"MACBOOK PRO APPLE A2251-RAM:16GB-DD:1TB /13.3"" // 2020 // 16GB RAM // 1TB // CORE I7 // CON CARGADOR // PROBADO FUNCIONANDO Y LIGEROS DETALLES ESTETICOS.*",ver [1] fotos.,"$ 10,903.00","$ 10,903.00",Chimalhuacán Centro,55-5985-0287
51034673.1,LAPTOP Y MINI LAPTOP (usado),APPLE,A1989-RAM:8GB-DD:250GB,MACBOOK PRO APPLE A1989-RAM:8GB-DD:250GB // 256 SSD // 8RAM // INTEL CORE I 5 // DE CUATRO NUCLEOS // TOUCH BAR // CON CARGADOR // PROBADO FUNCIONANDO Y LIGEROS DETALLES ESTETICOS.*,ver [1] fotos.,"$ 7,096.00","$ 7,096.00",Chimalhuacán Centro,55-5985-0287
42025117.1,LAPTOP Y MINI LAPTOP (usado),MSI,MS1571-RAM:32GB-DD:2TB,LAPTOP GAMER CREATOR Z16 A11UE 32GB EN RAM 2TB SSD PROCESADOR INTEL CORE I9 MSI MS1571-RAM:32GB-DD:2TB DESGASTES DE USO CON CARGADOR TARJETA GRAFICA GTX 3060 DE 6GB,ver [1] fotos.,"$ 30,593.00","$ 30,593.00",Chimalhuacán Las Torres,55-4160-5615
57034768.1,LAPTOP Y MINI LAPTOP (usado),HP,ELITEBOOK840G7-RAM:32GB-DD:250GB,HP ELITEBOOK840G7-RAM:32GB-DD:250GB HP ELITE BOOK 840 G7 PROCESADOR INYEL CORE I7-10610U 32GB RAM 250SSD COLOR PLATA CON CARGADOR CON DES-USO RAY SUC MAL,ver [1] fotos.,"$ 8,666.00","$ 8,666.00",Chimalhuacán Las Torres,55-4160-5615
